image,image_id,class,has_gt,n_food_detected,n_coin_detected,status,midas_predicted_kcal,midas_predicted_mass_g,fixed_predicted_kcal,fixed_predicted_mass_g,gt_kcal,gt_mass_g
datasets\ECUSTFD\images\test\apple016S(16).JPG,apple016,apple,True,1,1,ok,42.87937228051179,82.46033130867652,84.50809176976917,162.51556109570993,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(17).JPG,apple016,apple,True,1,1,ok,61.44124890220824,118.156247888862,86.37896736391926,166.1133987767678,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(18).JPG,apple016,apple,True,1,1,ok,49.77279225578206,95.71690818419627,79.15122045349405,152.21388548748857,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(19).JPG,apple016,apple,True,1,1,ok,63.08321207415682,121.3138693733785,88.56344451185632,170.31431636895448,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(2).JPG,apple016,apple,True,1,1,ok,55.62021801553459,106.96195772218191,99.19157008715068,190.75301939836672,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(20).JPG,apple016,apple,True,1,1,ok,70.17082662487263,134.94389735552429,86.50789443628594,166.36133545439603,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(21).JPG,apple016,apple,True,1,1,ok,58.56852652169739,112.63178177249499,97.66039657652597,187.8084549548576,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(22).JPG,apple016,apple,True,1,1,ok,55.99662040989714,107.68580848057142,83.2550520647126,160.10586935521653,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(23).JPG,apple016,apple,True,1,1,ok,43.59282932755454,83.83236409145104,79.10921105899611,152.13309819037713,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(24).JPG,apple016,apple,True,1,1,ok,53.271389237508394,102.44497930290076,87.2780194988344,167.84234519006614,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(25).JPG,apple016,apple,True,1,1,ok,52.801978278738886,101.54226592065172,86.39385391711754,166.14202676368757,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(3).JPG,apple016,apple,True,1,1,ok,57.034981483494356,109.6826566990276,79.87949567268365,153.61441475516085,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(4).JPG,apple016,apple,True,1,1,ok,59.19079174567979,113.82844566476882,83.7108938864421,160.9824882431579,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(5).JPG,apple016,apple,True,1,1,ok,62.37544611399124,119.95278098844469,91.32671840568068,175.628304626309,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(6).JPG,apple016,apple,True,1,1,ok,60.875562836064574,117.06839006935495,93.72603579495643,180.24237652876235,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(7).JPG,apple016,apple,True,1,1,ok,50.44143008392197,97.0027501613884,84.43989208936625,162.3844078641659,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(8).JPG,apple016,apple,True,1,1,ok,52.3230657580263,100.62128030389674,87.70896113090684,168.67107909789777,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(9).JPG,apple016,apple,True,1,1,ok,50.08806757667032,96.32320687821215,83.25403177824363,160.1039072658531,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(1).JPG,apple016,apple,True,1,1,ok,172.6894278562346,332.09505356968197,144.20229279146943,277.3121015220566,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(10).JPG,apple016,apple,True,1,1,ok,299.5491747672268,576.05610532159,156.130729152197,300.2514022157635,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(11).JPG,apple016,apple,True,1,1,ok,422.41191846328513,812.3306124293945,159.63298203715675,306.9865039176091,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(12).JPG,apple016,apple,True,1,1,ok,388.54168483398075,747.1955477576553,168.1233387095566,323.31411290299343,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(13).JPG,apple016,apple,True,1,1,ok,355.2277910400748,683.1303673847592,159.12814886334323,306.0156708910447,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(14).JPG,apple016,apple,True,1,1,ok,131.07098252191093,252.05958177290566,143.06503042423807,275.1250585081501,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(15).JPG,apple016,apple,True,1,1,ok,144.22397466254384,277.3537974279689,145.96027070172323,280.69282827254466,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(16).JPG,apple016,apple,True,1,1,ok,99.29777250241237,190.95725481233148,140.12928799462344,269.47939998966046,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(17).JPG,apple016,apple,True,1,1,ok,143.65136489175356,276.25262479183374,145.21637746755513,279.26226436068293,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(18).JPG,apple016,apple,True,1,1,ok,170.05791007769892,327.0344424571133,164.64662892353294,316.62813254525565,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(19).JPG,apple016,apple,True,1,1,ok,137.07638564656102,263.6084339356943,164.33254565083445,316.0241262516047,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(2).JPG,apple016,apple,True,1,1,ok,181.67946504503635,349.3835866250699,187.85350159365555,361.25673383395304,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(20).JPG,apple016,apple,True,1,1,ok,159.3147099516916,306.37444221479154,164.44454303254184,316.23950583181124,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(21).JPG,apple016,apple,True,1,1,ok,139.34228247091238,267.96592782867765,166.63393703259163,320.44987890883004,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(22).JPG,apple016,apple,True,1,1,ok,186.60927805184113,358.8639962535406,166.16794748243674,319.55374515853225,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(23).JPG,apple016,apple,True,1,1,ok,187.99100318741137,361.5211599757911,178.11130460361645,342.52173962233934,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(24).JPG,apple016,apple,True,1,1,ok,161.4684296968956,310.51621095556845,173.55484518227092,333.7593176582133,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(25).JPG,apple016,apple,True,1,1,ok,99.83958589243535,191.99920363929877,156.1627393155667,300.3129602222437,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(3).JPG,apple016,apple,True,1,1,ok,229.081875245822,440.542067780427,195.885594440945,376.7030662325865,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(4).JPG,apple016,apple,True,1,1,ok,274.11886709760455,527.1516674953933,184.14373613130604,354.1225694832808,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(5).JPG,apple016,apple,True,1,1,ok,235.09369695437087,452.1032633737901,188.64066452785679,362.7705087074169,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(6).JPG,apple016,apple,True,1,1,ok,289.799520276126,557.3067697617807,211.95999378870832,407.61537267059293,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(7).JPG,apple016,apple,True,1,1,ok,178.35686072560375,342.99396293385337,179.7746136682589,345.7204109004979,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(8).JPG,apple016,apple,True,1,1,ok,251.72198791897128,484.0807459980217,169.55271652658118,326.06291639727147,141.7,272.5
datasets\ECUSTFD\images\test\apple016T(9).JPG,apple016,apple,True,1,1,ok,298.02669809116463,573.128265559932,187.36608261594642,360.3193896460508,141.7,272.5
datasets\ECUSTFD\images\test\apple017S(1).JPG,apple017,apple,True,2,1,ok,79.02301203018976,233.42722618480934,116.14220101344775,342.4482074320664,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(10).JPG,apple017,apple,True,1,1,ok,52.12963114872975,100.24929067063414,85.31269773492427,164.06288025946978,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(11).JPG,apple017,apple,True,1,1,ok,48.607760221150045,93.4764619637501,88.94467435339162,171.04745067959928,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(12).JPG,apple017,apple,True,1,1,ok,42.29005274904272,81.32702451738986,80.07883918703165,153.99776766736855,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(13).JPG,apple017,apple,True,1,1,ok,49.49409882916969,95.18095928686479,86.56258352857343,166.46650678571814,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(14).JPG,apple017,apple,True,1,1,ok,44.21068993645347,85.02055757010284,71.82249668703153,138.12018593659909,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(15).JPG,apple017,apple,True,1,1,ok,48.83284381416665,93.90931502724357,87.13277507740551,167.5630289950106,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(16).JPG,apple017,apple,True,1,1,ok,46.08689999185967,88.62865383049936,80.13266375676415,154.10127645531566,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(17).JPG,apple017,apple,True,1,1,ok,45.66158636179647,87.81074300345476,76.80804789018579,147.70778440420344,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(18).JPG,apple017,apple,True,1,1,ok,50.05487899344926,96.2593826797101,90.88335196530477,174.77567685635532,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(19).JPG,apple017,apple,True,1,1,ok,51.515221254320274,99.06773318138515,86.91164467667436,167.13777822437376,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(2).JPG,apple017,apple,True,1,1,ok,51.86970869441734,99.74943979695642,89.36043289584788,171.84698633816902,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(20).JPG,apple017,apple,True,1,1,ok,50.673012440089416,97.4481008463258,88.62329612506366,170.42941562512243,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(21).JPG,apple017,apple,True,1,1,ok,47.383935062220644,91.12295204273201,90.96030900481009,174.9236711630963,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(22).JPG,apple017,apple,True,1,1,ok,48.89320780288812,94.02539962093869,95.0896203084357,182.86465443929941,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(23).JPG,apple017,apple,True,1,1,ok,42.10759071207507,80.97613598475975,83.20164751550044,160.00316829903932,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(24).JPG,apple017,apple,True,1,1,ok,50.96131103266059,98.00252121665497,86.81902780315491,166.959668852221,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(25).JPG,apple017,apple,True,1,1,ok,49.09995922168598,94.42299850324227,91.32577847904143,175.62649707507967,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(26).JPG,apple017,apple,True,1,1,ok,55.587626714852995,106.89928214394807,90.35492574565015,173.75947258778874,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(27).JPG,apple017,apple,True,1,1,ok,48.97093078552937,94.1748668952488,82.4010452898094,158.46354863424887,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(3).JPG,apple017,apple,True,1,1,ok,51.599640663619766,99.23007819926877,87.26452642100016,167.81639696346184,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(4).JPG,apple017,apple,True,1,1,ok,56.533247332137435,108.71778333103353,83.87268841596843,161.29363156917006,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(5).JPG,apple017,apple,True,1,1,ok,52.66734273767431,101.28335141860444,84.39291025328046,162.2940581793855,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(6).JPG,apple017,apple,True,1,1,ok,59.63940682218454,114.6911669657395,90.10157288293689,173.27225554410938,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(7).JPG,apple017,apple,True,1,1,ok,61.14689875680161,117.59018991692618,89.36231908108861,171.8506136174781,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(8).JPG,apple017,apple,True,1,1,ok,51.850421429089735,99.71234890209566,82.32263173700746,158.31275334039893,132.6,255.0
datasets\ECUSTFD\images\test\apple017S(9).JPG,apple017,apple,True,1,1,ok,57.48060299609879,110.53962114634382,86.18918659891969,165.74843576715327,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(1).JPG,apple017,apple,True,1,1,ok,238.14980556125775,457.9803953101111,172.3465581282088,331.4356887080939,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(10).JPG,apple017,apple,True,1,1,ok,258.8798245045295,497.84581635486444,153.0716166855811,294.36849362611747,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(11).JPG,apple017,apple,True,1,1,ok,240.70145046258426,462.887404735739,161.25887796788282,310.11322686131314,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(12).JPG,apple017,apple,True,1,1,ok,86.28047329667822,165.92398710899658,163.21472904678268,313.8744789361205,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(13).JPG,apple017,apple,True,1,1,ok,269.7751002733796,518.7982697564993,130.9386281445383,251.80505412411216,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(14).JPG,apple017,apple,True,1,1,ok,271.9570005130484,522.9942317558623,151.726705511068,291.78212598282306,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(15).JPG,apple017,apple,True,1,1,ok,223.53056671622187,429.8664744542728,154.2999144557218,296.7306047225419,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(16).JPG,apple017,apple,True,1,1,ok,180.45793432267783,347.03448908207275,178.90808986626416,344.05401897358496,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(17).JPG,apple017,apple,True,1,1,ok,167.98486462692009,323.047816590231,163.84086655553222,315.0785895298697,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(18).JPG,apple017,apple,True,1,1,ok,201.48731172090265,387.47559946327436,165.20001813119654,317.6923425599934,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(19).JPG,apple017,apple,True,1,1,ok,199.42846530590316,383.5162794344292,167.6488699388943,322.40167295941217,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(2).JPG,apple017,apple,True,1,1,ok,152.63849616914797,293.5355695560538,169.90385726550505,326.7381870490482,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(20).JPG,apple017,apple,True,1,1,ok,202.3907793424523,389.21303719702365,170.46390402057395,327.81520003956524,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(21).JPG,apple017,apple,True,1,1,ok,196.68307283878622,378.23667853612733,149.0527205286352,286.6398471704523,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(22).JPG,apple017,apple,True,1,1,ok,218.1764005347699,419.5700010284036,153.0313164539542,294.29099318068114,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(23).JPG,apple017,apple,True,1,1,ok,203.4526825196121,391.25515869156175,175.91401592965678,338.29618448010916,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(24).JPG,apple017,apple,True,1,1,ok,118.24729809728613,227.39865018708872,149.43400461661534,287.3730858011833,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(25).JPG,apple017,apple,True,1,1,ok,136.98051600280647,263.4240692361663,159.99859803226084,307.6896116005016,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(26).JPG,apple017,apple,True,1,1,ok,154.45884537619386,297.0362411080651,167.76647975547115,322.62784568359837,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(27).JPG,apple017,apple,True,1,1,ok,229.38719155050785,441.1292145202074,178.13756415249006,342.57223875478854,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(3).JPG,apple017,apple,True,1,1,ok,215.84387656941792,415.0843780181114,161.78483919677103,311.12469076302125,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(4).JPG,apple017,apple,True,1,1,ok,411.80997610179986,791.9422617342304,167.58328532193363,322.2755486960262,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(5).JPG,apple017,apple,True,1,1,ok,101.84467155264826,195.85513760124667,161.25040851491784,310.0969394517651,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(6).JPG,apple017,apple,True,1,1,ok,125.62043844433165,241.57776623909933,149.20607981769777,286.934768880188,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(7).JPG,apple017,apple,True,1,1,ok,363.10380712064295,698.2765521550826,158.07835147808976,303.9968297655572,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(8).JPG,apple017,apple,True,1,1,ok,383.0957994129819,736.7226911788113,160.59577434182154,308.838027580426,132.6,255.0
datasets\ECUSTFD\images\test\apple017T(9).JPG,apple017,apple,True,1,1,ok,252.83311686907604,486.2175324405309,163.32037483713754,314.0776439175722,132.6,255.0
datasets\ECUSTFD\images\test\apple018S(1).JPG,apple018,apple,True,1,1,ok,41.30422062572361,79.43119351100694,77.76672926429436,149.5514024313353,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(10).JPG,apple018,apple,True,1,1,ok,45.092968654657,86.71724741280191,84.22563133837048,161.97236795840476,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(11).JPG,apple018,apple,True,1,1,ok,49.11276009910408,94.44761557520016,82.2958967093936,158.26133982575692,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(2).JPG,apple018,apple,True,1,1,ok,50.87750198943213,97.84134997967718,77.97244111997006,149.94700215378856,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(3).JPG,apple018,apple,True,1,1,ok,45.834509506030656,88.1432875115974,69.91229831475256,134.4467275283703,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(4).JPG,apple018,apple,True,1,1,ok,48.2519479355389,92.79220756834404,72.2010376075059,138.84814924520364,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(5).JPG,apple018,apple,True,1,1,ok,44.02524564738728,84.66393393728323,70.37373618415232,135.33410804644677,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(6).JPG,apple018,apple,True,1,1,ok,47.360051984066565,91.07702304628187,80.06614250839687,153.97335097768627,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(7).JPG,apple018,apple,True,1,1,ok,43.71528826459839,84.0678620473046,78.52439329960457,151.0084486530857,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(8).JPG,apple018,apple,True,1,1,ok,44.97863770153484,86.49738019525931,77.50450532724184,149.04712562931124,120.38,231.5
datasets\ECUSTFD\images\test\apple018S(9).JPG,apple018,apple,True,1,1,ok,49.36724365005698,94.93700701934034,74.60526444358183,143.47166239150351,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(1).JPG,apple018,apple,True,1,1,ok,297.7533063255054,572.6025121644334,151.78568851272425,291.895554832162,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(10).JPG,apple018,apple,True,1,1,ok,214.32597619289947,412.16533883249895,147.18632598420257,283.05062689269727,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(11).JPG,apple018,apple,True,1,1,ok,246.0726905832763,473.21671266014675,153.24197587204847,294.6961074462471,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(2).JPG,apple018,apple,True,1,1,ok,318.5226622402601,612.5435812312694,161.79602713470257,311.1462060282742,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(3).JPG,apple018,apple,True,1,1,ok,192.93320244350755,371.0253893144376,156.7023650686178,301.3507020550342,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(4).JPG,apple018,apple,True,1,1,ok,150.75141583837095,289.9065689199441,149.94305974756443,288.35203797608546,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(5).JPG,apple018,apple,True,1,1,ok,107.93303875919054,207.56353607536641,163.9755017322736,315.3375033312954,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(6).JPG,apple018,apple,True,1,1,ok,283.58653886624893,545.3587285889403,169.61042120820417,326.1738869388542,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(7).JPG,apple018,apple,True,1,1,ok,243.56373280724875,468.39179386009374,161.87994601251904,311.3075884856135,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(8).JPG,apple018,apple,True,1,1,ok,108.10945995520633,207.90280760616602,162.44173774308084,312.38795719823236,120.38,231.5
datasets\ECUSTFD\images\test\apple018T(9).JPG,apple018,apple,True,1,1,ok,156.4062902861787,300.78132747342056,152.61709932557082,293.4944217799439,120.38,231.5
datasets\ECUSTFD\images\test\apple019S(1).JPG,apple019,apple,True,1,1,ok,111.3216599315392,214.08011525295998,158.40958550139786,304.6338182719189,132.6,255.0
datasets\ECUSTFD\images\test\apple019S(2).JPG,apple019,apple,True,1,1,ok,110.5124543448586,212.5239506631896,146.67049057274727,282.05863571682164,132.6,255.0
datasets\ECUSTFD\images\test\apple019S(3).JPG,apple019,apple,True,1,1,ok,180.87588257778995,347.83823572651914,223.55395004915889,429.9114424022286,132.6,255.0
datasets\ECUSTFD\images\test\apple019S(4).JPG,apple019,apple,True,1,1,ok,122.35980000243775,235.30730769699568,194.55296491124255,374.1403171370049,132.6,255.0
datasets\ECUSTFD\images\test\apple019S(5).JPG,apple019,apple,True,1,1,ok,116.51751923095752,224.07215236722598,152.72148724091466,293.6951677709897,132.6,255.0
datasets\ECUSTFD\images\test\apple019S(6).JPG,apple019,apple,True,1,1,ok,101.7416062166673,216.4715025886538,173.82988599258738,369.8508212608242,132.6,255.0
datasets\ECUSTFD\images\test\apple019S(7).JPG,apple019,apple,True,1,1,ok,114.07460242002104,219.37423542311737,157.83719905241196,303.53307510079225,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(1).JPG,apple019,apple,True,0,2,no_food,,,,,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(2).JPG,apple019,apple,True,1,1,ok,81.47660157346327,156.68577225666013,146.41776130842467,281.5726179008167,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(3).JPG,apple019,apple,True,1,1,ok,94.61238910053629,181.94690211641594,139.12011063985364,267.5386743074108,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(4).JPG,apple019,apple,True,1,1,ok,91.50371805128678,175.96868856016687,133.9542117450851,257.6042533559329,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(5).JPG,apple019,apple,True,1,2,ok,70.22921780331995,135.0561880833076,147.808855516484,284.24779907016153,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(6).JPG,apple019,apple,True,1,2,ok,130.1598558111757,250.30741502149172,146.88602083257467,282.47311698572054,132.6,255.0
datasets\ECUSTFD\images\test\apple019T(7).JPG,apple019,apple,True,1,2,ok,421.16591493883925,93.17829976522992,295.5921644909976,65.39649656880478,132.6,255.0
